ObjectId,Date,Daily_Cases,Cumulative_Cases,Recoveries,Total_Recoveries,Deaths,Total_Deaths,New_ICU_Admissions,Current_ICU___Total,Current_ICU___Active,Cumulative_ICU_Admissions,New_IP_Admissions_Total,Current_Hospitalizations___Tota,Current_Hospitalizations___Acti,Cumulative_IP_Admissions,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,Cumulative_Tests
517,2021/08/08 05:00:00+00,24,57862,17,55703,1,1185,1,17,8,868,4,118,42,4029,34,932,2.5,1332,886687
518,2021/08/09 05:00:00+00,24,57886,21,55724,1,1186,0,16,8,868,1,111,37,4030,29,939,2.7,1266,887953
519,2021/08/10 05:00:00+00,36,57922,31,55755,2,1188,1,16,8,869,2,107,35,4032,27,944,2.8,1867,889820
520,2021/08/11 05:00:00+00,29,57951,24,55779,1,1189,0,15,7,869,3,106,34,4035,27,949,2.6,1590,891410
521,2021/08/12 05:00:00+00,22,57973,30,55809,0,1189,0,15,7,869,1,101,30,4036,23,945,1.9,2103,893513
522,2021/08/13 05:00:00+00,23,57996,24,55833,0,1189,0,15,7,869,2,97,27,4038,20,947,1.9,1123,894636
523,2021/08/14 05:00:00+00,29,58025,13,55846,0,1189,0,15,7,869,1,96,28,4039,21,962,1.8,1901,896537
524,2021/08/15 05:00:00+00,30,58055,18,55864,0,1189,0,15,7,869,5,100,33,4044,26,969,1.8,1389,897926
525,2021/08/16 05:00:00+00,16,58071,47,55911,0,1189,1,16,7,870,3,95,30,4047,23,941,1.8,1292,899218
526,2021/08/17 05:00:00+00,37,58108,25,55936,0,1189,1,17,8,871,0,92,29,4047,21,954,2,2309,901527
527,2021/08/18 05:00:00+00,27,58135,298,56234,0,1189,1,18,9,872,3,89,28,4050,19,684,1.9,1969,903496
528,2021/08/19 05:00:00+00,44,58179,46,56280,0,1189,0,17,9,872,4,86,27,4054,18,683,2.1,1814,905310
529,2021/08/20 05:00:00+00,41,58220,25,56305,0,1189,0,17,9,872,3,89,30,4057,21,696,2.1,1679,906989
530,2021/08/21 05:00:00+00,38,58258,34,56339,1,1190,0,16,8,872,3,89,31,4060,23,698,2.2,1702,908691
531,2021/08/22 05:00:00+00,33,58291,30,56369,0,1190,1,16,8,873,4,87,31,4064,23,701,2.3,1122,909813
532,2021/08/23 05:00:00+00,36,58327,29,56398,0,1190,1,17,9,874,4,87,32,4068,23,707,2.5,1678,911491
533,2021/08/24 05:00:00+00,100,58427,59,56457,0,1190,0,17,7,874,4,88,29,4072,22,751,2.9,2298,913789
534,2021/08/25 05:00:00+00,47,58474,37,56494,0,1190,0,17,6,874,1,91,30,4073,24,760,2.8,1993,915782
535,2021/08/26 05:00:00+00,34,58508,36,56530,0,1190,0,17,6,874,5,92,31,4078,25,757,2.9,2259,918041
536,2021/08/27 05:00:00+00,94,58602,51,56581,1,1191,1,18,6,875,1,91,31,4079,25,799,3.1,2199,920240
537,2021/08/28 05:00:00+00,48,58650,44,56625,1,1192,1,18,6,876,3,89,29,4082,23,804,3.2,1715,921955
538,2021/08/29 05:00:00+00,29,58679,26,56651,0,1192,0,18,6,876,3,92,31,4085,25,805,3,1608,923563
539,2021/08/30 05:00:00+00,31,58710,46,56697,1,1193,0,17,5,876,3,89,27,4088,22,793,3,1664,925227
540,2021/08/31 05:00:00+00,50,58760,37,56734,1,1194,1,13,4,877,5,91,29,4093,25,803,2.9,2235,927462
541,2021/09/01 05:00:00+00,39,58799,109,56843,0,1194,0,13,4,877,4,92,32,4097,28,730,2.5,2501,929963
542,2021/09/02 05:00:00+00,50,58849,38,56881,3,1197,0,12,2,877,8,91,31,4105,29,740,2.4,2163,932126
543,2021/09/03 05:00:00+00,41,58890,42,56923,1,1198,1,13,3,878,7,95,36,4112,33,733,2.4,1981,934107
544,2021/09/04 05:00:00+00,43,58933,43,56966,1,1199,1,13,4,879,8,98,39,4120,35,729,2.5,1751,935858
545,2021/09/05 05:00:00+00,32,58965,37,57003,1,1200,2,14,6,881,3,96,39,4123,33,723,2.6,1564,937422
546,2021/09/06 05:00:00+00,33,58998,44,57047,0,1200,1,13,6,882,4,96,40,4127,34,711,2.7,1432,938854
547,2021/09/07 05:00:00+00,54,59052,34,57081,1,1201,0,12,5,882,3,95,38,4130,33,732,2.8,2079,940933
